date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2018-10-24,US.AAPL,1.0,1.0,1.0,-0.02673943910391474,-0.017304384207289913,-0.07316757873342616,0.031329443489607575
2018-10-25,US.AAPL,1.0,1.0,1.0,-0.006286885610196191,-0.012322565966614785,-0.05287197827625578,0.030157643312886846
2018-10-26,US.AAPL,1.0,1.0,1.0,-0.022373765077648766,-0.013122977341519048,-0.0679536346641848,0.03160990027067825
2018-10-29,US.AAPL,1.0,1.0,1.0,-0.04026075388471284,-0.0177605540877268,-0.08544835609534118,0.035100862903856216
2018-10-30,US.AAPL,1.0,1.0,1.0,-0.035279027328657175,-0.022768401309366783,-0.08088076871879846,0.03328219811005113
2018-10-31,US.AAPL,1.0,1.0,1.0,-0.010473983223346361,-0.015726948731571745,-0.056922480269455344,0.03242689390309797
2018-11-01,US.AAPL,1.0,1.0,1.0,0.004066510030766857,-0.01201287012574851,-0.025308127551698312,0.031010870820501725
2018-11-02,US.AAPL,1.0,1.0,1.0,-0.06185482171454626,-0.0173173317890826,-0.0854674483150697,0.03732796964644288
2018-11-05,US.AAPL,1.0,1.0,1.0,-0.08728455496841148,-0.02288804007959826,-0.11142945299267248,0.03951088843434438
2018-11-06,US.AAPL,1.0,1.0,1.0,-0.07622911803448218,-0.026328703932324057,-0.10182042580122619,0.03902859666578458
2018-11-07,US.AAPL,1.0,1.0,1.0,-0.04737057034574044,-0.032514884498211445,-0.057378889230013774,0.03723335488041109
2018-11-08,US.AAPL,1.0,1.0,1.0,-0.0495073409414708,-0.043807922775833154,-0.06066783489013017,0.03672930342153871
2018-11-09,US.AAPL,1.0,1.0,1.0,-0.06615026040005578,-0.04278302666574589,-0.07877956831416844,0.03809258186883267
2019-03-22,US.AAPL,1.0,1.0,1.0,0.12477377912422782,0.05033237372449932,-0.02070839100171229,0.01981156765333753
2019-03-29,US.AAPL,1.0,1.0,1.0,0.09485660239814075,0.025396156885347538,-0.026346814300013288,0.02185499943721463
2019-04-01,US.AAPL,1.0,1.0,1.0,0.09773068170239374,0.023815624349559316,-0.01973448152252333,0.02153203155469644
2019-04-25,US.AAPL,1.0,1.0,1.0,0.09829434803161385,0.03247028449002397,-0.010603431648085748,0.013757133114815101
2019-04-26,US.AAPL,1.0,1.0,1.0,0.08907492068938727,0.029243759178737214,-0.015326778475534653,0.014434969584097297
2019-04-29,US.AAPL,1.0,1.0,1.0,0.08680987493106818,0.025695225064668592,-0.013832658571884426,0.013791708268505764
2019-04-30,US.AAPL,1.0,1.0,1.0,0.062467835293262386,0.01706283949044481,-0.032822440716132495,0.014731684571625943
2019-05-06,US.AAPL,1.0,1.0,1.0,0.08623048635502717,0.020347275520803492,-0.01544273908532845,0.020762526038757972
2019-05-07,US.AAPL,1.0,1.0,1.0,0.05380504347221482,0.02238982549821917,-0.04198347107796063,0.023043689525825754
2019-05-08,US.AAPL,1.0,1.0,1.0,0.05089349254525932,0.014036471171131428,-0.041794569068495435,0.0226237414625389
2019-05-09,US.AAPL,1.0,1.0,1.0,0.036826130160536374,0.005764248705204048,-0.052089728465326446,0.02450997836235459
2019-05-10,US.AAPL,1.0,1.0,1.0,0.019850655274894935,-0.007853922176337165,-0.0652215698918559,0.026517017395942487
